"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC16A8",2.17409756902778,-1.27103677546989,8.187538342972,9.76960476822809e-15,5.94210174278726e-13,22.8752691938057
"DSC1",-4.18869472569881,1.85316609048274,-8.15855555186257,1.18576964806893e-14,7.13964418249345e-13,22.6857325137973
"ESR1",2.11280140288221,1.45725169821436,8.14812580218528,1.27124788420117e-14,7.55432521154475e-13,22.617625948631
"COL4A4",2.53945584094913,0.902941881254538,8.14781577345981,1.2738799239919e-14,7.55432521154475e-13,22.6156022650104
"POU4F1",3.50292432250129,-2.66303845842104,8.14353407104266,1.31078624376864e-14,7.7368673757812e-13,22.5876586553225
"CPEB1",2.06259987389147,-1.85091821236515,8.1427636538433,1.31753827333564e-14,7.75761355828384e-13,22.5826316445591
"HOXC13-AS",-2.71018435960718,0.565789002698875,-8.13008672627564,1.43371135377719e-14,8.33918904900889e-13,22.4999557678348
"SPIB",2.94959259864633,-0.313612906875568,8.12153551796439,1.51774104105383e-14,8.80253428053809e-13,22.4442313127496
"WNT7A",-3.14487296013401,2.51359584452404,-8.12124120675445,1.52071824075395e-14,8.80253428053809e-13,22.4423140549132
"DSG1",-4.73957078026892,5.97257850005243,-8.10579936300343,1.68530067320268e-14,9.70320346646073e-13,22.341779560583
"KRT75",-3.89511753524435,3.98923112804066,-8.08279576923896,1.96366527295964e-14,1.11510129386741e-12,22.1922318403569
"TCHHL1",-3.25882004448149,-2.17000111539497,-8.0815124890363,1.98046796000474e-14,1.11670433396597e-12,22.1838968507881
"SERPINE1",-2.20276698058797,8.01432816193138,-8.07832210287953,2.02286011228843e-14,1.13526509908384e-12,22.1631786097822
"CDKN2A",3.9015362792095,3.22546740721443,8.06693354699164,2.18163486074164e-14,1.21866428444785e-12,22.0892628532154
"SPRR2G",-4.74903470942671,4.08613045487275,-8.06319713059247,2.23636460302698e-14,1.24374566767988e-12,22.0650261839447
"EFNB3",-2.05174884155713,1.50811001001557,-8.04634503128527,2.50056668011503e-14,1.38072764797873e-12,21.9557992982236
"DLX3",-2.6935726557655,3.01990499208352,-8.04022299731609,2.60400079128862e-14,1.43124483858808e-12,21.9161542818385
"RDH12",-3.57942889748793,1.43070813294434,-8.03038551434552,2.77913818005478e-14,1.52053121796422e-12,21.8524878772146
"IKZF3",2.42596854765234,3.16666161535644,8.01170010531171,3.14447335149729e-14,1.70871109739866e-12,21.7316922451487
"ZNF365",-2.27573114580656,1.61251903682961,-7.99363796795988,3.54262981546591e-14,1.90348836093778e-12,21.6150918885843
"TMEM178B",3.21654926289819,1.02304387890164,7.98630270524594,3.71820646307703e-14,1.99335793470196e-12,21.567785719717
"LINC01605",-2.36843277683084,2.54892160479976,-7.96102241344516,4.39183755992486e-14,2.31309879749537e-12,21.4049568100178
"KRT9",-2.47959688920638,0.881088264325213,-7.95217719756999,4.65495030860996e-14,2.44094593425665e-12,21.348061366602
"PLAC8",2.8438507391293,2.06679575985805,7.95145778070756,4.67702315203861e-14,2.44183404826695e-12,21.3434355700071
"COLCA1",3.65506256746012,-0.469423906163451,7.94708195241539,4.81352646163584e-14,2.50219844092497e-12,21.3153049571054
"CPA4",-3.41464745666489,3.96970129175956,-7.93829354460125,5.09968686100873e-14,2.63381241243994e-12,21.2588367369167
"KCNA2",3.08892772310377,-1.55421122768329,7.93347221416648,5.26375206048163e-14,2.70687884930004e-12,21.2278748232707
"IGFBP6",-2.82748290346591,5.81845051485647,-7.92725898462173,5.48289659590149e-14,2.81353606047502e-12,21.1879917074902
"ZNF556",-2.53597417230465,0.504978439141184,-7.90144899219102,6.49393336769052e-14,3.29704701744355e-12,21.0225256884522
"HS3ST4",3.37659694584939,-2.96531923348776,7.90026576954338,6.54445921697993e-14,3.30867976109087e-12,21.014948261373
"SHISA8",2.22738111309094,-3.64696237514105,7.88736145388357,7.12136383696112e-14,3.56276331918447e-12,20.9323546406875
"FAM3B",3.88892670758626,0.234575517023174,7.81350089307653,1.15308886186629e-13,5.49356291963496e-12,20.4612555304625
"RPSAP52",-2.5940397254137,-0.647191780900283,-7.81045283131862,1.17618159471672e-13,5.59246343964117e-12,20.4418747109971
"GJB6",-3.14107668011715,7.30346138585639,-7.80787567626246,1.19606269178813e-13,5.67155723165445e-12,20.4254918600261
"SIM2",3.11356214818391,0.756643391230056,7.80503294614598,1.21837776998251e-13,5.73618956382335e-12,20.4074247502589
"NEXMIF",3.04421965467981,-2.11924304138504,7.79099157102113,1.33477908242479e-13,6.23521363181824e-12,20.3182455546312
